row_index_1,row_index_2,name_company_1,name_company_2,address_1,address_2,city_1,city_2,state_1,state_2,country_1,country_2,continent_1,continent_2,is_match
8783,5225,Umicore NV/SA,Ageas NV,"Rue Du Marais 31, Bruxelles, 1000","Rue Du Marquis 1 Boite 7, Bruxelles, 1000",,,,,,,,,1
8802,2600,Sorgenia Spa,Design Holding Spa,"VIA ALESSANDRO ALGARDI 4, MILANO, 20148, MILANO, ITALY","VIA ALESSANDRO MANZONI 38, MILANO, 20121, MILANO, ITALY",,,,,IT12874490159,IT10446470964,,,1
8819,5388,A. Menarini Industrie Farmaceutiche Riunite Srl,Salvatore Ferragamo Spa,"VIA DEI SETTE SANTI 3, FIRENZE, 50131, FIRENZE, ITALY","VIA DEI TORNABUONI 2, FIRENZE, 50123, FIRENZE, ITALY",,,,,IT00395270481,IT02175200480,,,1
9046,8005,COURTAGE ASSURANCES & FINANCES LIMITED,GOOD CLIC LIMITED,"Cary Chambers, 1 Palk Street, Torquay, Devon, TQ2 5EL","Cary Chambers, 1 Palk Street, Torquay, TQ2 5EL",,,,,,,,,1
9202,8874,V & M EVENTS LTD,ALL ABOUT EVE BRIDALS CHEPSTOW LIMITED,"PO Box 4385, 09817358: COMPANIES HOUSE DEFAULT ADDRESS, Cardiff, CF14 8LH","PO Box 4385, 10523606: COMPANIES HOUSE DEFAULT ADDRESS, Cardiff, CF14 8LH",,,,,,,,,1
9244,4860,International Design Group Spa,Ferretti International Holding Spa,"VIA ALESSANDRO MANZONI 38, MILANO, 20121, MILANO, ITALY","VIA ALESSANDRO MANZONI 41, MILANO, 20121, MILANO, ITALY",,,,,IT10462810960,IT07739200967,,,1
9445,442,GOOD ACCOUNTS UK LTD,GOOD ADVICE LTD,"Office 1.03 Vauxhall Sky Gardens, 153 Wandsworth Road, London, England, SW8 2GB","Office 1.03 Vauxhall Sky Gardens, 153 Wandsworth Road, London, United Kingdom, SW8 2GB",,,,,,,,,1
9606,7209,S A CONSTRUCTION 247 LTD,Z & Z BROTHERS IT SOLUTIONS LTD,"86-90 Paul Street, London, England, EC2A 4NE","86-90 Paul Street, London, England, United Kingdom, EC2A 4NE",,,,,,,,,1
9606,8900,S A CONSTRUCTION 247 LTD,Q AND QUAINT LIMITED,"86-90 Paul Street, London, England, EC2A 4NE","86-90 Paul Street, London, England, United Kingdom, EC2A 4NE",,,,,,,,,1
10153,5930,Q CORPORATION LTD,SOFTWARE CPANEL LTD,"PO Box 4385, 11975010 - COMPANIES HOUSE DEFAULT ADDRESS, Cardiff, CF14 8LH","PO Box 4385, 12356176: COMPANIES HOUSE DEFAULT ADDRESS, Cardiff, CF14 8LH",,,,,,,,,1
10456,6087,Mirvac Group,Whitehaven Coal Ltd,"L 28 200 George St, Sydney, New South Wales, 2000","L 28 259 George St, Sydney, New South Wales, 2000",,,Sydney,,Australia,,Oceania,,1
10919,263,TRUSTED FINANCES AND PROTECTION LTD,ALL ABOUT KIDS LTD,"71-75 Shelton Street, Covent Garden, London, England, WC2H 9JQ","71-75 Shelton Street, Covent Garden, London, United Kingdom, WC2H 9JQ",,,,,,,,,1
10919,3444,TRUSTED FINANCES AND PROTECTION LTD,U BROWN LTD,"71-75 Shelton Street, Covent Garden, London, England, WC2H 9JQ","71-75 Shelton Street, Covent Garden, London, United Kingdom, WC2H 9JQ",,,,,,,,,1
10919,3775,TRUSTED FINANCES AND PROTECTION LTD,T & B ENGINEERING SOLUTIONS LTD,"71-75 Shelton Street, Covent Garden, London, England, WC2H 9JQ","71-75 Shelton Street, Covent Garden, London, United Kingdom, WC2H 9JQ",,,,,,,,,1
10919,4375,TRUSTED FINANCES AND PROTECTION LTD,H & A ENGINEERING LTD,"71-75 Shelton Street, Covent Garden, London, England, WC2H 9JQ","71-75 Shelton Street, Covent Garden, London, United Kingdom, WC2H 9JQ",,,,,,,,,1
10919,4438,TRUSTED FINANCES AND PROTECTION LTD,BEAUTY BOOSTERS LTD,"71-75 Shelton Street, Covent Garden, London, England, WC2H 9JQ","71-75 Shelton Street, Covent Garden, London, United Kingdom, WC2H 9JQ",,,,,,,,,1
10919,6594,TRUSTED FINANCES AND PROTECTION LTD,U EVENTS LIMITED,"71-75 Shelton Street, Covent Garden, London, England, WC2H 9JQ","71-75 Shelton Street, Covent Garden, London, United Kingdom, WC2H 9JQ",,,,,,,,,1
10919,7607,TRUSTED FINANCES AND PROTECTION LTD,GOOD ADVICE DEBT COMPANY LIMITED,"71-75 Shelton Street, Covent Garden, London, England, WC2H 9JQ","71-75 Shelton Street, Covent Garden, London, United Kingdom, WC2H 9JQ",,,,,,,,,1
10999,5947,T & B (CONTRACTORS) HOLDINGS LIMITED,T & B (CONTRACTORS) LIMITED,"Riverside House 1 Place Farm, Wheathampstead, St. Albans, AL4 8SB","Riverside House 1 Place Farm, Wheathampstead, St. Albans, Hertfordshire, AL4 8SB",,,,,,,,,1
