id,left_row_index,right_row_index,left_name_company,right_name_company,left_industryname,right_industryname,left_sector,right_sector,left_address,right_address,left_city,right_city,left_state,right_state,left_country,right_country,left_continent,right_continent,left_other,right_other
54153,54153,10025,China Railway Construction Corp Ltd,China Railway Construction,,,,,,,,,,,,,,,,
54155,54155,9587,AGL Energy Ltd,AGL Energy Limited,,,,,,,,,,,,,,,,
54157,54157,38818,NEW AGE FUNDING LIMITED,NEW AGE FLOORING LIMITED,,,,,,,,,,,,,,,,
54161,54161,12140,Kadokawa Corporation,Kadokawa Corp,,,,,,,,,,,,,,,,
54168,54168,53972,Charles River Laboratories International Inc,Charles River Laboratories International,,,,,,,,,,,,,,,,
54174,54174,57,Tokyo Tatemono Co Ltd,Tokyo Tatemono,,,,,,,,,,,,,,,,
54176,54176,18997,BEAUTY & THE LABEL LTD,BEAUTY & THE JUICE LTD,,,,,,,,,,,,,,,,
54180,54180,47605,"10x Genomics, Inc.",10x Genomics,,,,,,,,,,,,,,,,
54182,54182,35222,Inwido Ab,Inwido AB,,,,,,,,,,,,,,,,
54187,54187,53735,Cloudflare,Cloudera,,,,,,,,,,,,,,,,
54189,54189,11920,Ferrexpo Plc,Ferrexpo,,,,,,,,,,,,,,,,
54211,54211,27640,"Vidrala, SA",Vidrala SA,,,,,,,,,,,,,,,,
54244,54244,3075,GOOD CHAT LTD,GOOD CHAOS LTD,,,,,,,,,,,,,,,,
54262,54262,423,Synnex Technology International Corporation,Synnex Technology International Corp,,,,,,,,,,,,,,,,
54267,54267,28782,Public Service Enterprise Group Inc,Public Service Enterprise Group,,,,,,,,,,,,,,,,
54271,54271,8508,Houlihan Lokey Inc,Houlihan Lokey,,,,,,,,,,,,,,,,
54288,54288,41554,Clal Insurance Enterprises Holdings,Clal Insurance Enterprises,,,,,,,,,,,,,,,,
54289,54289,51641,Parque Arauco SA,Parque Arauco,,,,,,,,,,,,,,,,
54291,54291,6176,Neusoft Corporation,Neusoft Corp,,,,,,,,,,,,,,,,
54293,54293,44977,Zhejiang Tianyu Pharmaceutical Co. Ltd,Zhejiang Tianyu Pharmaceutical,,,,,,,,,,,,,,,,
54296,54296,46142,Okamura Corporation,Okamura Corp,,,,,,,,,,,,,,,,
54307,54307,23136,Piraeus Financial Holdings SA,Piraeus Financial Holdings,,,,,,,,,,,,,,,,
54308,54308,38322,Fuji Electric Co Ltd,Fuji Electric,,,,,,,,,,,,,,,,
54310,54310,48557,Jiangsu Hengrui Medicine Co. Ltd,Jiangsu Hengrui Medicine Co Ltd,,,,,,,,,,,,,,,,
54317,54317,36787,Tamburi Investment Partners S.p.A.,Tamburi Investment Partners,,,,,,,,,,,,,,,,
54320,54320,35015,"Nippon Steel Nisshin Co., Ltd.",Nippon Steel Nisshin Co. Ltd,,,,,,,,,,,,,,,,
54321,54321,47868,nVent Electric plc,nVent Electric Plc,,,,,,,,,,,,,,,,
54335,54335,47270,Sri Trang Agro-Industry Public Company Ltd,Sri Trang Agro-Industry Public Co Ltd,,,,,,,,,,,,,,,,
54346,54346,1629,Benetton Group Srl,Benetton Group,,,,,,,,,,,,,,,,
54353,54353,2711,First American Financial Corporation,First American Financial Corp,,,,,,,,,,,,,,,,
54361,54361,23470,Brunello Cucinelli Spa,Brunello Cucinelli S.p.A.,,,,,,,,,,,,,,,,
54376,54376,53901,Sea Ltd,Sea Limited,,,,,,,,,,,,,,,,
54380,54380,41983,"Anhui Wanwei Updated High-tech Material Industry Co.,ltd","Anhui Wanwei Updated High-Tech Material Industry Co.,Ltd",,,,,,,,,,,,,,,,
54383,54383,10315,"Zhuzhou Kibing Group Co.,Ltd",Zhuzhou Kibing Group,,,,,,,,,,,,,,,,
54386,54386,41244,Property For Industry Ltd,Property For Industry,,,,,,,,,,,,,,,,
54391,54391,20621,Supportas,SupportMart,,,,,,,,,,,,,,,,
54395,54395,5996,Top Glove Corporation Bhd,Top Glove Corp Bhd.,,,,,,,,,,,,,,,,
54397,54397,43688,China Life Insurance Company Limited,China Life Insurance Company,,,,,,,,,,,,,,,,
