id,left_row_index,right_row_index,left_name_company,right_name_company,left_industryname,right_industryname,left_sector,right_sector,left_address,right_address,left_city,right_city,left_state,right_state,left_country,right_country,left_continent,right_continent,left_other,right_other
11414,11414,7560,Mitsubishi Corp,Mitsubishi Electric Corp,,,,,,,,,,,,,,,https://disfold.com/company/mitsubishi-corp/,www.mitsubishielectric.co.jp
11417,11417,478,Credicorp Ltd,Credit Acceptance Corp,,,,,,,,,,,,,,,credicorp.gcs-web.com,www.creditacceptance.com
11438,11438,971,Apollo Global Management Inc,Apollo Gold & Silver Corp,,,,,,,,,,,,,,,www.apollo.com,https://disfold.com/company/apollo-gold-silver-corp/
11468,11468,504,Flex Legal,Flex Ltd.,,,,,,,,,,,,,,,https://flex.legal/,https://disfold.com/company/flex-ltd/
11482,11482,322,DyFlowing,Dycom Industries Inc,,,,,,,,,,,,,,,https://www.dyflowing.com/,dycomind.com
11485,11485,6230,Caire,Cairn Homes plc,,,,,,,,,,,,,,,https://disfold.com/company/caire/,https://disfold.com/company/cairn-homes-plc/
11502,11502,11353,Advanced Oncotherapy plc,Advanced Power Electronics Co. Ltd,,,,,,,,,,,,,,,https://disfold.com/company/advanced-oncotherapy-plc/,https://disfold.com/company/advanced-power-electronics-co-ltd/
11510,11510,2507,Encompass Health Corp,Encore Capital Group Inc,,,,,,,,,,,,,,,www.encompasshealth.com,www.encorecapital.com
11521,11521,3455,Mewah International Inc,Mews,,,,,,,,,,,,,,,www.mewahgroup.com,https://www.mews.com/
11534,11534,4462,Campbell Careers,Campbell Soup Company,,,,,,,,,,,,,,,campbells.com,https://disfold.com/company/campbell-soup-company/
11536,11536,1151,Johnson Controls International Plc,Johnson Electric Holdings Limited,,,,,,,,,,,,,,,www.johnsoncontrols.com,www.johnsonelectric.com
11666,11666,5965,Teledyne Technologies Incorporated,Teleflex Incorporated,,,,,,,,,,,,,,,https://disfold.com/company/teledyne-technologies-incorporated/,https://disfold.com/company/teleflex-incorporated/
