id,left_row_index,right_row_index,left_name_company,right_name_company,left_industryname,right_industryname,left_sector,right_sector,left_address,right_address,left_city,right_city,left_state,right_state,left_country,right_country,left_continent,right_continent,left_other,right_other
50050,50050,1138,Nitori Holdings Co. Ltd,Nitori Holdings Co Ltd,,,,,,,,,,,,,,,,
50061,50061,17503,Nojima Corporation,Nojima Corp,,,,,,,,,,,,,,,,
50069,50069,20987,The Wharf (Holdings) Ltd.,The Wharf (Holdings) Ltd,,,,,,,,,,,,,,,,
50073,50073,29058,T & B INVESTMENTS LIMITED,T & B INVESTMENT PROPERTIES LTD,,,,,,,,,,,,,,,,
50078,50078,46245,China National Software & Service Company Ltd,China National Software & Service Company,,,,,,,,,,,,,,,,
50087,50087,16142,The a2 Milk Company Ltd,The a2 Milk Company Limited,,,,,,,,,,,,,,,,
50102,50102,44430,Suzuki Motor Corp,Suzuki Motor,,,,,,,,,,,,,,,,
50105,50105,22620,China Minsheng Banking,China Minsheng Bank,,,,,,,,,,,,,,,,
50114,50114,7389,"TriNet Group, Inc.",TriNet Group Inc,,,,,,,,,,,,,,,,
50130,50130,16713,Fundo de Investimento Imobiliario Presidente Vargas,Fundo de Investimento Imobiliario Panamby,,,,,,,,,,,,,,,,
50154,50154,26713,Asia Cement Corp,"Asia Cement Co.,Ltd.",,,,,,,,,,,,,,,,
50169,50169,48475,888 Holdings Plc,888 Holdings,,,,,,,,,,,,,,,,
50177,50177,40896,Prysmian SpA,Prysmian S.p.A.,,,,,,,,,,,,,,,,
50195,50195,12302,Magna International Inc.,Magna International Inc,,,,,,,,,,,,,,,,
50199,50199,43031,Ceragon Networks Ltd.,Ceragon Networks,,,,,,,,,,,,,,,,
50240,50240,46072,China National Building Material Co Ltd,China National Building,,,,,,,,,,,,,,,,
50243,50243,46474,Occidental Petroleum Corp,Occidental Petroleum,,,,,,,,,,,,,,,,
50246,50246,40361,Manolete Partners plc,Manolete Partners,,,,,,,,,,,,,,,,
50253,50253,39359,Clarkson plc,Clarkson,,,,,,,,,,,,,,,,
50254,50254,22671,Ares Management Corporation,Ares Management Corp,,,,,,,,,,,,,,,,
50258,50258,35707,Lloyds Banking Group plc,Lloyds Banking Group Plc,,,,,,,,,,,,,,,,
50271,50271,19994,"American National Group, Inc.","American National Group, Inc",,,,,,,,,,,,,,,,
50288,50288,48639,Matsui Securities Co. Ltd,Matsui Securities,,,,,,,,,,,,,,,,
50296,50296,9356,ALL ABOUT RESULTS LIMITED,ALL ABOUT RESTO LTD,,,,,,,,,,,,,,,,
50299,50299,42313,Jiumaojiu International Holdings Ltd,Jiumaojiu International Holdings Limited,,,,,,,,,,,,,,,,
50300,50300,74,Tianqi Lithium Corporation,Tianqi Lithium Corp,,,,,,,,,,,,,,,,
50314,50314,48665,China Nuclear Engineering Corporation,China Nuclear Engineering Corp Ltd,,,,,,,,,,,,,,,,
50320,50320,3028,China Gem Holdings Ltd,China Gas Holdings Ltd,,,,,,,,,,,,,,,,
50340,50340,692,Evercore Inc,Evercore,,,,,,,,,,,,,,,,
